Rank,Player,Time
1,Jack,1:19.057
2,Lun,1:19.163
3,Leo,1:19.166
4,IbrHyde,1:19.169
5,KaiserClement,1:19.237
6,Thomas,1:19.238
7,2AM,1:19.244
8,Alpha,1:19.269
9,Sun,1:19.288
10,Pierre,1:19.291
